"state_name","year","consumption_twh"
"New South Wales",2000,"67.60"
"Queensland",2000,"41.00"
"South Australia",2000,"12.40"
"Victoria",2000,"45.80"
"New South Wales",2001,"69.40"
"Queensland",2001,"43.00"
"South Australia",2001,"13.00"
"Victoria",2001,"46.90"
"New South Wales",2002,"70.20"
"Queensland",2002,"45.20"
"South Australia",2002,"12.50"
"Victoria",2002,"46.80"
"New South Wales",2003,"71.60"
"Queensland",2003,"46.30"
"South Australia",2003,"13.00"
"Victoria",2003,"48.20"
"New South Wales",2004,"73.70"
"Queensland",2004,"48.30"
"South Australia",2004,"12.90"
"Victoria",2004,"49.20"
"New South Wales",2005,"74.40"
"Queensland",2005,"49.40"
"South Australia",2005,"12.70"
"Tasmania",2005,"1.40"
"Victoria",2005,"49.70"
"New South Wales",2006,"76.80"
"Queensland",2006,"51.20"
"South Australia",2006,"12.80"
"Tasmania",2006,"9.90"
"Victoria",2006,"50.60"
"New South Wales",2007,"78.60"
"Queensland",2007,"51.70"
"South Australia",2007,"14.30"
"Tasmania",2007,"10.70"
"Victoria",2007,"51.80"
"New South Wales",2008,"78.90"
"Queensland",2008,"51.70"
"South Australia",2008,"14.30"
"Tasmania",2008,"11.10"
"Victoria",2008,"52.70"
"New South Wales",2009,"79.60"
"Queensland",2009,"52.90"
"South Australia",2009,"14.50"
"Tasmania",2009,"11.00"
"Victoria",2009,"52.40"
"New South Wales",2010,"78.50"
"Queensland",2010,"53.50"
"South Australia",2010,"14.40"
"Tasmania",2010,"11.00"
"Victoria",2010,"52.40"
"New South Wales",2011,"78.10"
"Queensland",2011,"51.70"
"South Australia",2011,"14.50"
"Tasmania",2011,"11.10"
"Victoria",2011,"52.10"
"New South Wales",2012,"75.30"
"Queensland",2012,"51.60"
"South Australia",2012,"14.00"
"Tasmania",2012,"10.70"
"Victoria",2012,"51.60"
"New South Wales",2013,"71.60"
"Queensland",2013,"51.30"
"South Australia",2013,"13.90"
"Tasmania",2013,"10.80"
"Victoria",2013,"50.70"
"New South Wales",2014,"69.70"
"Queensland",2014,"50.40"
"South Australia",2014,"13.40"
"Tasmania",2014,"10.80"
"Victoria",2014,"49.30"
"New South Wales",2015,"70.30"
"Queensland",2015,"53.10"
"South Australia",2015,"13.00"
"Tasmania",2015,"10.60"
"Victoria",2015,"46.90"
"New South Wales",2016,"71.20"
"Queensland",2016,"55.40"
"South Australia",2016,"13.40"
"Tasmania",2016,"10.50"
"Victoria",2016,"47.10"
"New South Wales",2017,"71.60"
"Queensland",2017,"56.40"
"South Australia",2017,"12.70"
"Tasmania",2017,"10.60"
"Victoria",2017,"45.30"
"New South Wales",2018,"71.30"
"Queensland",2018,"55.80"
"South Australia",2018,"12.60"
"Tasmania",2018,"11.00"
"Victoria",2018,"45.60"
"New South Wales",2019,"71.70"
"Queensland",2019,"56.10"
"South Australia",2019,"12.50"
"Tasmania",2019,"10.80"
"Victoria",2019,"44.70"
"New South Wales",2020,"69.80"
"Queensland",2020,"55.40"
"South Australia",2020,"12.20"
"Tasmania",2020,"10.60"
"Victoria",2020,"44.30"
"New South Wales",2021,"68.10"
"Queensland",2021,"54.50"
"South Australia",2021,"11.90"
"Tasmania",2021,"10.70"
"Victoria",2021,"43.40"
"New South Wales",2022,"67.50"
"Queensland",2022,"55.00"
"South Australia",2022,"11.70"
"Tasmania",2022,"11.10"
"Victoria",2022,"43.70"
"New South Wales",2023,"68.00"
"Queensland",2023,"54.10"
"South Australia",2023,"11.70"
"Tasmania",2023,"11.00"
"Victoria",2023,"43.70"
"New South Wales",2024,"67.50"
"Queensland",2024,"56.10"
"South Australia",2024,"11.30"
"Tasmania",2024,"10.70"
"Victoria",2024,"43.00"
"New South Wales",2025,"67.60"
"Queensland",2025,"56.30"
"South Australia",2025,"11.80"
"Tasmania",2025,"10.40"
"Victoria",2025,"44.00"
"New South Wales",2026,"51.20"
"Queensland",2026,"43.30"
"South Australia",2026,"8.90"
"Tasmania",2026,"7.30"
"Victoria",2026,"33.70"
