"state_name","year","median_weekly_income"
"Australia",1989,"380.00"
"Australian Capital Territory",1989,"460.00"
"New South Wales",1989,"380.00"
"Northern Territory",1989,"460.00"
"Queensland",1989,"380.00"
"South Australia",1989,"380.00"
"Tasmania",1989,"380.00"
"Victoria",1989,"380.00"
"Western Australia",1989,"380.00"
"Australia",1990,"420.00"
"Australian Capital Territory",1990,"500.00"
"New South Wales",1990,"420.00"
"Northern Territory",1990,"460.00"
"Queensland",1990,"380.00"
"South Australia",1990,"380.00"
"Tasmania",1990,"380.00"
"Victoria",1990,"420.00"
"Western Australia",1990,"420.00"
"Australia",1992,"460.00"
"Australian Capital Territory",1992,"500.00"
"New South Wales",1992,"460.00"
"Northern Territory",1992,"500.00"
"Queensland",1992,"420.00"
"South Australia",1992,"420.00"
"Tasmania",1992,"420.00"
"Victoria",1992,"460.00"
"Western Australia",1992,"460.00"
"Australia",1993,"460.00"
"Australian Capital Territory",1993,"540.00"
"New South Wales",1993,"500.00"
"Northern Territory",1993,"540.00"
"Queensland",1993,"420.00"
"South Australia",1993,"460.00"
"Tasmania",1993,"420.00"
"Victoria",1993,"460.00"
"Western Australia",1993,"460.00"
"Australia",1994,"460.00"
"Australian Capital Territory",1994,"540.00"
"New South Wales",1994,"500.00"
"Northern Territory",1994,"540.00"
"Queensland",1994,"460.00"
"South Australia",1994,"460.00"
"Tasmania",1994,"420.00"
"Victoria",1994,"500.00"
"Western Australia",1994,"500.00"
"Australia",1995,"500.00"
"Australian Capital Territory",1995,"580.00"
"New South Wales",1995,"500.00"
"Northern Territory",1995,"500.00"
"Queensland",1995,"460.00"
"South Australia",1995,"460.00"
"Tasmania",1995,"460.00"
"Victoria",1995,"500.00"
"Western Australia",1995,"460.00"
"Australia",1997,"512.00"
"Australian Capital Territory",1997,"600.00"
"New South Wales",1997,"529.60"
"Northern Territory",1997,"600.00"
"Queensland",1997,"500.00"
"South Australia",1997,"500.00"
"Tasmania",1997,"490.00"
"Victoria",1997,"512.00"
"Western Australia",1997,"504.00"
"Australia",1998,"530.00"
"Australian Capital Territory",1998,"600.50"
"New South Wales",1998,"550.00"
"Northern Territory",1998,"600.00"
"Queensland",1998,"502.70"
"South Australia",1998,"500.00"
"Tasmania",1998,"490.00"
"Victoria",1998,"520.00"
"Western Australia",1998,"525.00"
"Australia",1999,"550.00"
"Australian Capital Territory",1999,"650.00"
"New South Wales",1999,"600.00"
"Northern Territory",1999,"602.40"
"Queensland",1999,"513.00"
"South Australia",1999,"525.00"
"Tasmania",1999,"504.80"
"Victoria",1999,"550.00"
"Western Australia",1999,"550.00"
"Australia",2000,"581.80"
"Australian Capital Territory",2000,"710.40"
"New South Wales",2000,"600.00"
"Northern Territory",2000,"672.60"
"Queensland",2000,"550.00"
"South Australia",2000,"558.00"
"Tasmania",2000,"527.40"
"Victoria",2000,"579.10"
"Western Australia",2000,"560.00"
"Australia",2001,"600.00"
"Australian Capital Territory",2001,"700.00"
"New South Wales",2001,"618.00"
"Northern Territory",2001,"667.00"
"Queensland",2001,"565.00"
"South Australia",2001,"570.00"
"Tasmania",2001,"550.00"
"Victoria",2001,"600.00"
"Western Australia",2001,"575.00"
"Australia",2002,"615.00"
"Australian Capital Territory",2002,"750.00"
"New South Wales",2002,"650.00"
"Northern Territory",2002,"700.00"
"Queensland",2002,"600.00"
"South Australia",2002,"600.00"
"Tasmania",2002,"550.00"
"Victoria",2002,"604.00"
"Western Australia",2002,"615.00"
"Australia",2003,"635.00"
"Australian Capital Territory",2003,"779.30"
"New South Wales",2003,"670.00"
