"year","state_name","population_count"
1981,"Australia","44966054"
1981,"Australian Capital Territory","685847"
1981,"New South Wales","15751238"
1981,"Northern Territory","375520"
1981,"Queensland","7100628"
1981,"South Australia","3965180"
1981,"Tasmania","1283432"
1981,"Victoria","11872648"
1981,"Western Australia","3931561"
1982,"Australia","60834114"
1982,"Australian Capital Territory","932809"
1982,"New South Wales","21233766"
1982,"Northern Territory","524208"
1982,"Queensland","9730328"
1982,"South Australia","5331651"
1982,"Tasmania","1720572"
1982,"Victoria","15989114"
1982,"Western Australia","5371666"
1983,"Australia","61662215"
1983,"Australian Capital Territory","957989"
1983,"New South Wales","21435645"
1983,"Northern Territory","547906"
1983,"Queensland","9948649"
1983,"South Australia","5390729"
1983,"Tasmania","1733479"
1983,"Victoria","16160639"
1983,"Western Australia","5487179"
1984,"Australia","62416762"
1984,"Australian Capital Territory","981931"
1984,"New South Wales","21640197"
1984,"Northern Territory","572047"
1984,"Queensland","10120356"
1984,"South Australia","5444503"
1984,"Tasmania","1752874"
1984,"Victoria","16326890"
1984,"Western Australia","5577964"
1985,"Australia","63265245"
1985,"Australian Capital Territory","1009582"
1985,"New South Wales","21890782"
1985,"Northern Territory","598150"
1985,"Queensland","10311138"
1985,"South Australia","5490080"
1985,"Tasmania","1772276"
1985,"Victoria","16500026"
1985,"Western Australia","5693211"
1986,"Australia","64193658"
1986,"Australian Capital Territory","1038928"
1986,"New South Wales","22172082"
1986,"Northern Territory","619854"
1986,"Queensland","10520055"
1986,"South Australia","5535206"
1986,"Tasmania","1787756"
1986,"Victoria","16667693"
1986,"Western Australia","5852084"
1987,"Australia","65191422"
1987,"Australian Capital Territory","1065692"
1987,"New South Wales","22519061"
1987,"Northern Territory","634162"
1987,"Queensland","10729406"
1987,"South Australia","5578106"
1987,"Tasmania","1797016"
1987,"Victoria","16866177"
1987,"Western Australia","6001802"
1988,"Australia","66303652"
1988,"Australian Capital Territory","1090278"
1988,"New South Wales","22879291"
1988,"Northern Territory","638325"
1988,"Queensland","11005157"
1988,"South Australia","5628266"
1988,"Tasmania","1806406"
1988,"Victoria","17088230"
1988,"Western Australia","6167699"
1989,"Australia","67387219"
1989,"Australian Capital Territory","1108988"
1989,"New South Wales","23134707"
1989,"Northern Territory","646000"
1989,"Queensland","11345534"
