"year","state_name","households"
2021,"Australian Capital Territory","176900"
2021,"New South Wales","3137200"
2021,"Northern Territory","80100"
2021,"Queensland","2027400"
2021,"South Australia","740400"
2021,"Tasmania","235900"
2021,"Victoria","2540500"
2021,"Western Australia","1053700"
2046,"Australian Capital Territory","248400"
2046,"New South Wales","4278400"
2046,"Northern Territory","107600"
2046,"Queensland","2840800"
2046,"South Australia","909900"
2046,"Tasmania","271100"
2046,"Victoria","3818400"
2046,"Western Australia","1457900"
