"state_name","year","retailer_count"
"Australian Capital Territory",2021,10
"New South Wales",2021,46
"Queensland",2021,40
"South Australia",2021,33
"Tasmania",2021,4
"Australian Capital Territory",2022,14
"New South Wales",2022,52
"Queensland",2022,50
"South Australia",2022,39
"Tasmania",2022,6
"Australian Capital Territory",2023,14
"New South Wales",2023,46
"Queensland",2023,45
"South Australia",2023,36
"Tasmania",2023,6
"Australian Capital Territory",2024,14
"New South Wales",2024,42
"Queensland",2024,43
"South Australia",2024,35
"Tasmania",2024,6
"Australian Capital Territory",2025,13
"New South Wales",2025,40
"Queensland",2025,38
"South Australia",2025,30
"Tasmania",2025,7
